solution:;problem size = 256^3 (fixed);\-O2 avx2;threadblocks = 512, 8, 8;KMP_AFFINITY=balanced;ran using mpirun
;;;;;
nthreads;Run 1;Run 2;Run 3;Run 4;Run 5
1;127.27;127.42;127.09;127.21;130.97
2;;;;;
3;;;;;
4;511.70;511.86;512.63;512.35;510.05
5;;;;;
6;;;;;
7;;;;;
8;999.30;998.88;1003.71;999.36;1004.42
9;;;;;
10;;;;;
11;;;;;
12;1481.56;1479.80;1479.74;1479.87;1479.46
13;;;;;
14;;;;;
15;;;;;
16;1932.08;1938.94;1936.03;1939.95;1923.81
17;;;;;
18;;;;;
19;;;;;
20;1835.05;1835.15;1834.17;1838.44;1802.08
21;;;;;
22;;;;;
23;;;;;
24;1783.66;1789.13;1745.74;1790.03;1747.08
25;;;;;
26;;;;;
27;;;;;
28;1995.76;1975.40;1994.09;1994.93;1993.12
29;;;;;
30;;;;;
31;;;;;
32;2122.36;2124.90;2116.53;2126.39;2119.03
