solution:;problem size = 512^3 (fixed);\-O2 avx;threadblocks = 512, 4, 10;KMP_AFFINITY=balanced;ran using mpirun
;;;;;
nthreads;Run 1;Run 2;Run 3;Run 4;Run 5
1;130.90;128.04;128.00;127.98;127.48
2;;;;;
3;;;;;
4;515.29;514.83;514.79;514.47;514.85
5;;;;;
6;;;;;
7;;;;;
8;1016.87;1013.47;1013.39;1013.11;1018.36
9;;;;;
10;1250.62;1251.00;1257.97;1258.30;1258.93
11;;;;;
12;1492.50;1494.43;1500.79;1492.90;1500.90
13;;;;;
14;;;;;
15;;;;;
16;1962.41;1968.02;1967.19;1968.94;1948.13
17;;;;;
18;;;;;
19;;;;;
20;1894.60;1895.19;1885.03;1891.98;1893.53
21;;;;;
22;1861.51;1902.90;1868.20;1902.44;1899.57
23;;;;;
24;1852.69;1900.31;1896.95;1849.46;1853.69
25;1920.69;1930.53;1954.38;1919.98;1921.15
26;1952.10;1981.58;1952.47;1947.25;1954.88
27;2008.34;2006.85;1997.37;2001.50;1998.06
28;2037.42;2057.74;2062.39;2056.60;2059.81
29;2094.63;2094.44;2097.65;2084.00;2100.13
30;2136.55;2129.46;2136.48;2138.35;2135.05
31;2158.82;2158.12;2152.81;2159.96;2157.16
32;2196.90;2202.97;2190.98;2192.61;2184.44
